timestamp,host,latency_ms
2025-07-06T07:14:22.414534,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:22.415259,208.67.222.222,31.0
2025-07-06T07:14:22.616662,8.8.8.8,33.0
2025-07-06T07:14:22.617457,1.1.1.1,6.0
2025-07-06T07:14:22.618082,cloudflare.com,11.0
2025-07-06T07:14:22.623548,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:22.624436,208.67.222.222,34.0
2025-07-06T07:14:22.846682,8.8.8.8,30.0
2025-07-06T07:14:22.847608,1.1.1.1,9.0
2025-07-06T07:14:22.848366,cloudflare.com,6.0
2025-07-06T07:14:22.851237,ec2.ap-southeast-2.amazonaws.com,38.0
2025-07-06T07:14:22.851966,208.67.222.222,31.0
2025-07-06T07:14:23.215745,8.8.8.8,32.0
2025-07-06T07:14:23.217566,1.1.1.1,8.0
2025-07-06T07:14:23.218512,cloudflare.com,6.0
2025-07-06T07:14:23.220084,ec2.ap-southeast-2.amazonaws.com,39.0
2025-07-06T07:14:23.220759,208.67.222.222,32.0
2025-07-06T07:14:23.421540,8.8.8.8,29.0
2025-07-06T07:14:23.422233,1.1.1.1,5.0
2025-07-06T07:14:23.422855,cloudflare.com,8.0
2025-07-06T07:14:23.461899,ec2.ap-southeast-2.amazonaws.com,39.0
2025-07-06T07:14:23.462593,208.67.222.222,30.0
2025-07-06T07:14:23.685588,8.8.8.8,32.0
2025-07-06T07:14:23.686294,1.1.1.1,6.0
2025-07-06T07:14:23.689925,cloudflare.com,5.0
2025-07-06T07:14:23.702565,ec2.ap-southeast-2.amazonaws.com,46.0
2025-07-06T07:14:23.703287,208.67.222.222,30.0
2025-07-06T07:14:23.952063,8.8.8.8,37.0
2025-07-06T07:14:23.952846,1.1.1.1,6.0
2025-07-06T07:14:23.953463,cloudflare.com,7.0
2025-07-06T07:14:23.956946,ec2.ap-southeast-2.amazonaws.com,45.0
2025-07-06T07:14:23.957592,208.67.222.222,30.0
2025-07-06T07:14:24.152267,8.8.8.8,37.0
2025-07-06T07:14:24.152869,1.1.1.1,7.0
2025-07-06T07:14:24.153406,cloudflare.com,9.0
2025-07-06T07:14:24.160478,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:24.161155,208.67.222.222,28.0
2025-07-06T07:14:24.348117,8.8.8.8,30.0
2025-07-06T07:14:24.348681,1.1.1.1,9.0
2025-07-06T07:14:24.349205,cloudflare.com,7.0
2025-07-06T07:14:24.365579,ec2.ap-southeast-2.amazonaws.com,43.0
2025-07-06T07:14:24.366117,208.67.222.222,28.0
2025-07-06T07:14:24.549392,8.8.8.8,40.0
2025-07-06T07:14:24.550168,1.1.1.1,8.0
2025-07-06T07:14:24.550636,cloudflare.com,5.0
2025-07-06T07:14:24.555243,ec2.ap-southeast-2.amazonaws.com,39.0
2025-07-06T07:14:24.555620,208.67.222.222,31.0
2025-07-06T07:14:24.728051,8.8.8.8,33.0
2025-07-06T07:14:24.728578,1.1.1.1,7.0
2025-07-06T07:14:24.728976,cloudflare.com,8.0
2025-07-06T07:14:24.771515,ec2.ap-southeast-2.amazonaws.com,42.0
2025-07-06T07:14:24.772040,208.67.222.222,29.0
